1,-0.5,-0.5
2,-0.22521,0.025116
3,0.021564,0.11901
4,-0.41437,-0.44884
5,-0.049481,-0.38761
6,0.13685,-0.11333
7,0.39646,0.14124
8,0.5,0.5
9,-0.26403,-0.056758
10,-0.27399,0.1713
11,-0.32285,0.20773
12,0.017239,-0.29
13,-0.156,-0.41208
14,-0.32949,0.2584
15,0.41434,-0.00021297
16,0.30053,0.070476
17,0.12101,-0.24478
18,0.010748,-0.065863
19,0.5,0.5
20,0.18706,0.345
21,0.076824,-0.067884
22,0.23285,-0.038806
23,-0.39671,-0.37649
24,0.0063189,0.01896
25,-0.48957,0.13447
26,0.41449,0.22933
27,-0.35788,-0.14892
28,0.5,0.5
29,-0.078547,-0.26649
30,0.1441,0.4529
31,-0.31218,-0.49531
32,0.10752,-0.41422
33,-0.19824,-0.40823
34,-0.48044,0.060566
35,0.32149,0.2708
36,-0.15783,0.17952
37,-0.013994,0.21644
38,0.5,0.5
39,-0.26111,-0.33414
40,0.26803,0.22178
41,0.020055,-0.46737
42,0.045921,-0.15037
43,0.48233,-0.032184
44,0.5,0.5
45,0.40444,-0.39649
46,0.43848,0.032438
47,-0.053768,0.15281
48,0.32007,0.17612
49,-0.49754,0.04754
50,-0.09066,-0.23713
51,0.24357,0.34514
52,0.39417,-0.33501
53,0.47521,-0.38538
54,0.22996,0.46301
55,0.35741,-0.33678
56,0.14211,-0.11837
57,-0.30129,0.19693
58,-0.093984,-0.38615
59,0.5,0.5
60,-0.11308,-0.46678
61,-0.25652,-0.075369
62,-0.13264,-0.11773
63,-0.36741,-0.12108
64,0.38377,-0.17127
65,-0.22973,0.089346
66,0.5,0.5
